id	name	question	description	weight
101	Mobilgát a Rómain	Szükség van a Római parton a mobilgát megépítésére.	Egyesek szerint a dunai áradások hatalmas károkat okoznak a római parton lakóknak, és veszélyeztetik a környező lakótelepeket is, ezért mobilgát építésére van szükség. Mások szerint a mobilgát leginkább az ártérre illegálisan betelepülőket védené, ráadásul közpénzből, és tönkretenné a természetes partszakaszt. Ők a régi gát megerősítését javasolják.	1
102	Városligeti múzeum negyed	Jó kezdeményezés, hogy a Városligetben építik fel a múzeum negyedet.	A projekt támogatói szerint a Városligeti múzeum negyed rendezheti a budapesti múzeumok sorsát, és új attraktív turista látványosságot hozna létre, miközben rendeződne az elhanyagolt park sorsa is. Ellenzői szerint a Városligetben nincs helye nagy épületeknek és megnövekedő forgalomnak, ezért ellenzik ezt a helyszínválasztást.	2
103	Rakpartok	A belső kerületekben, mind Pesten és Budán, a Rakpartot át kell adni a gyalogosoknak és megteremteni a város és a folyó közötti közvetlen kapcsolatot.	Sokak szerint méltatlan, hogy a belvárosban nem lehet kihasználni a Duna adta lehetőséget a rakparti autóforgalom miatt. Mások szerint a rakpartok nélkülözhetetlen közlekedési útvonalai a fővárosnak.	3
104	Műemlékvédelem	Szigorítani kell a fővárosi műemlékvédelmet.	Egyesek szerint szigorúbban kell védeni Budapest építészeti örökségét, akár befektetői érdekekkel szemben is. Mások szerint a műemlékvédelem nem lehet az ingatlanállomány és város fejlesztésének akadálya.	4
105	Dugódíj bevezetése	Mihamarabb be kell vezetni a dugódíjat.	Budapest vállalást tett a dugódíj bevezetésére. Az ellenzők szerint a valóságban ez nem kivitelezhető, és a város közlekedésének felborulásához vezethet.	5
106	Bicikliút a Nagykörúton	Legyen a Nagykörúton a gyalogos- és autóforgalomtól független bicikliút.	Budapesten évről évre növekszik a kerékpározók száma. Biciklis szerveztek szerint elengedhetetlen a körúti biciklisáv megépítése. Mások szerint nem megoldható a jelenlegi forgalmi viszonyok mellet, illetve anélkül, hogy jelentősen megnehezítenék a közlekedést és a parkolást.	6
107	Szerelvénycsere a 3-mas metrón	A hármas metró rekonstrukciója során elégséges a járműpark felújítása, nem kell új szerelvényeket vásárolni.	Egyesek szerint a főváros szűkös anyagi lehetőségei miatt elégséges a régi szovjet metrószerelvények felújítása. Mások szerint mindenáron új járművekre van szükség.	7
108	Buszjáratok kiszervezése	Folytatni kell a BKK buszjáratok vállalkozóknak történő kiszervezését.	A fővárosi buszpark megújításának egyik lehetősége a járatok alvállalkozóknak történő kiszervezése, hiszen ők maguk gondoskodnak új buszok beszerzéséről. Mások szerint ez végső soron többe kerül a városnak, mintha saját maga vásárolna új buszokat, továbbá kiszolgáltatottá teszi a BKV sofőrjeit.	8
109	Gyalogos Lánchíd	A Lánchídon meg kell szüntetni az autóközlekedést.	Rendszeresen felmerül, hogy Budapestnek szüksége van gyalogoshídra. Egyesek szerint át kell engedni a Lánchidat a gyalogosoknak, mások szerint azonban nélkülözhetetlen a Lánchíd a gépkocsi forgalom számára.	9
110	Kulturális intézmények autonómiája	A fővárosi kulturális intézmények elegendő autonómiával rendelkeznek, amit a jövőben sem érdemes bővíteni.	Egyesek szerint a fővárosi kulturális intézmények elegendő forrással, szakmai autonómiával rendelkeznek, mások szerint túl erős a politikai befolyása szakmai és személyi kérdésekben.	10
